2020-Sep-17 19:13:53 PM [main] INFO  com.qa.interestsmart.listeners.ExtentReportListener - Test Suite started!
2020-Sep-17 19:14:31 PM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - User is successfully able to login into the application
2020-Sep-17 19:14:31 PM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - Fetched user first name after successful login as -> er
2020-Sep-17 19:14:31 PM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - Fetched user last name after successful login as -> fds
2020-Sep-17 19:14:40 PM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - User is successfully able to logout from the application
2020-Sep-17 19:14:40 PM [main] INFO  com.qa.interestsmart.listeners.ExtentReportListener - Login_ValidEmail_ValidPassword passed!
2020-Sep-17 19:14:41 PM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Sep-17 19:14:41 PM [main] INFO  com.qa.interestsmart.base.BasePage - Browser Name is : chrome
2020-Sep-17 19:14:49 PM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Sep-17 19:14:49 PM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Sep-17 19:14:49 PM [main] INFO  com.qa.interestsmart.listeners.ExtentReportListener - InvalidEmail_ValidPassword started!
2020-Sep-17 19:14:51 PM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - Clicked on Sign In button on the landing page
2020-Sep-17 19:14:54 PM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - Sending user email id into email filed as -> aaclxz@mailinator.com
2020-Sep-17 19:14:54 PM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - Sending user password into email filed as -> 123456
2020-Sep-17 19:14:56 PM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - After entering user's invalid email id and valid password clicked on Sign In button on Signin page
2020-Sep-17 19:14:56 PM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - After entering user's invalid email id and valid password clicked on Sign In button on Signin page tooltip message is -> These credentials do not match our records.
2020-Sep-17 19:14:56 PM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - After entering user's invalid email id and valid password clicked on Sign In button on Signin page tooltip message appears with text -> These credentials do not match our records.
2020-Sep-17 19:15:02 PM [main] INFO  com.qa.interestsmart.listeners.ExtentReportListener - InvalidEmail_ValidPassword passed!
2020-Sep-17 19:15:03 PM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Sep-17 19:15:03 PM [main] INFO  com.qa.interestsmart.base.BasePage - Browser Name is : chrome
2020-Sep-17 19:15:11 PM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Sep-17 19:15:11 PM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Sep-17 19:15:11 PM [main] INFO  com.qa.interestsmart.listeners.ExtentReportListener - Login_ValidEmail_InvalidPassword started!
2020-Sep-17 19:15:12 PM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - Clicked on Sign In button on the landing page
2020-Sep-17 19:15:13 PM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - Sending user email id into email filed as -> test03@mailinator.com
2020-Sep-17 19:15:13 PM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - Sending user password into email filed as -> 1a2b3c
2020-Sep-17 19:15:15 PM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - After entering user's valid email id and invalid password clicked on Sign In button on Signin page
2020-Sep-17 19:15:15 PM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - After entering user's valid email id and invalid password clicked on Sign In button on Signin page tooltip message is -> These credentials do not match our records.
2020-Sep-17 19:15:21 PM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - After entering user's valid email id and invalid password clicked on Sign In button on Signin page tooltip message appears with text -> These credentials do not match our records.
2020-Sep-17 19:15:27 PM [main] INFO  com.qa.interestsmart.listeners.ExtentReportListener - Login_ValidEmail_InvalidPassword passed!
2020-Sep-17 19:15:27 PM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Sep-17 19:15:27 PM [main] INFO  com.qa.interestsmart.base.BasePage - Browser Name is : chrome
2020-Sep-17 19:15:36 PM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Sep-17 19:15:36 PM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Sep-17 19:15:36 PM [main] INFO  com.qa.interestsmart.listeners.ExtentReportListener - InvalidEmail_InvalidPassword started!
2020-Sep-17 19:15:37 PM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - Clicked on Sign In button on the landing page
2020-Sep-17 19:15:38 PM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - Sending user email id into email filed as -> test03@mailinator.com
2020-Sep-17 19:15:38 PM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - Sending user password into email filed as -> 1a2b3c
2020-Sep-17 19:15:39 PM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - After entering user's valid email id and invalid password clicked on Sign In button on Signin page
2020-Sep-17 19:15:40 PM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - After entering user's valid email id and invalid password clicked on Sign In button on Signin page tooltip message is -> These credentials do not match our records.
2020-Sep-17 19:15:46 PM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - After entering user's valid email id and invalid password clicked on Sign In button on Signin page tooltip message appears with text -> These credentials do not match our records.
2020-Sep-17 19:15:52 PM [main] INFO  com.qa.interestsmart.listeners.ExtentReportListener - InvalidEmail_InvalidPassword passed!
2020-Sep-17 19:15:52 PM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Sep-17 19:15:52 PM [main] INFO  com.qa.interestsmart.base.BasePage - Browser Name is : chrome
2020-Sep-17 19:16:00 PM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Sep-17 19:16:00 PM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Sep-17 19:16:00 PM [main] INFO  com.qa.interestsmart.listeners.ExtentReportListener - SearchLoan_ByAddress started!
2020-Sep-17 19:16:02 PM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - Clicked on Sign In button on the landing page
2020-Sep-17 19:16:03 PM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - Sending user email id into email filed as -> test03@mailinator.com
2020-Sep-17 19:16:03 PM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - Sending user password into email filed as -> 123456
2020-Sep-17 19:16:05 PM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - After entering user's valid email id and valid password clicked on Sign In button on Signin page
2020-Sep-17 19:16:13 PM [main] INFO  com.qa.interestsmart.base.BasePage - Capturing Screenshot for failed testcase
2020-Sep-17 19:16:23 PM [main] INFO  com.qa.interestsmart.listeners.ExtentReportListener - SearchLoan_ByAddress passed!
2020-Sep-17 19:16:24 PM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Sep-17 19:16:24 PM [main] INFO  com.qa.interestsmart.base.BasePage - Browser Name is : chrome
2020-Sep-17 19:16:32 PM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Sep-17 19:16:32 PM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Sep-17 19:16:32 PM [main] INFO  com.qa.interestsmart.listeners.ExtentReportListener - SearchLoan_ByInValidAddress started!
2020-Sep-17 19:16:33 PM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - Clicked on Sign In button on the landing page
2020-Sep-17 19:16:34 PM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - Sending user email id into email filed as -> test03@mailinator.com
2020-Sep-17 19:16:34 PM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - Sending user password into email filed as -> 123456
2020-Sep-17 19:16:36 PM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - After entering user's valid email id and valid password clicked on Sign In button on Signin page
2020-Sep-17 19:16:44 PM [main] INFO  com.qa.interestsmart.base.BasePage - Capturing Screenshot for failed testcase
2020-Sep-17 19:16:54 PM [main] INFO  com.qa.interestsmart.listeners.ExtentReportListener - SearchLoan_ByInValidAddress failed!
2020-Sep-17 19:16:54 PM [main] INFO  com.qa.interestsmart.base.BasePage - Capturing Screenshot for failed testcase
2020-Sep-17 19:16:54 PM [main] INFO  com.qa.interestsmart.listeners.ExtentReportListener - Attaching screenshot in extent report for failed testcase name -> SearchLoan_ByInValidAddress
2020-Sep-17 19:16:55 PM [main] INFO  com.qa.interestsmart.listeners.ExtentReportListener - Test Suite is ending!
